CaseID,ActivityID,CompleteTimestamp,PreActivityID
103,2,2010-06-09 15:18:28,8
503,2,2012-09-05 18:07:42,8
622,2,2012-09-28 18:14:14,8
836,2,2012-02-16 19:41:39,8
899,2,2010-02-09 23:32:02,8
899,2,2010-03-23 01:18:56,8
1030,2,2010-02-04 18:41:33,8
1097,2,2010-04-09 17:34:14,8
1173,2,2010-07-06 18:36:50,8
1245,2,2010-03-24 20:28:37,8
1345,2,2011-05-03 15:25:49,8
1528,2,2010-07-05 14:57:40,8
1528,2,2010-07-05 14:58:52,8
1594,2,2010-04-13 22:34:05,8
1594,2,2010-04-13 22:34:35,8
1757,2,2010-05-19 22:33:45,8
1770,2,2010-03-26 19:25:24,8
1798,2,2010-02-04 19:49:57,8
2088,2,2010-02-04 20:01:35,8
2114,2,2010-05-12 22:57:34,8
2336,2,2010-09-27 17:59:47,8
2382,2,2012-02-14 21:01:09,8
2475,2,2010-07-30 17:44:58,8
2572,2,2012-05-31 17:25:24,8
2638,2,2010-05-25 19:22:56,8
2816,2,2010-06-11 23:43:06,8
2920,2,2010-09-30 16:25:46,8
2937,2,2011-01-24 19:14:18,8
2937,2,2011-01-24 20:19:22,2
3071,2,2012-09-21 20:25:06,8
3076,2,2011-07-22 16:19:31,8
3135,2,2012-02-14 21:00:54,8
3185,2,2010-02-24 00:40:54,8
3214,2,2012-09-21 15:17:58,8
3223,2,2011-11-19 01:32:10,8
3325,2,2012-02-29 18:20:52,8
3326,2,2010-12-06 18:37:28,8
3386,2,2010-05-24 21:17:43,8
3410,2,2012-02-14 21:01:48,8
3514,2,2010-12-21 20:38:54,8
3616,2,2010-11-30 23:17:17,8
3839,2,2011-10-26 17:00:07,0
3897,2,2012-06-29 18:04:28,4
3981,2,2010-09-27 23:59:38,8
4519,2,2011-06-14 20:36:36,8
